GRAND_ID,GDW_ID,Name,Main_use,Uses,Cap_mcm,River,Disch_ls,Reg_degre,Elev,area_km,perm_km,HUC2,Lat,Long
1315,3314,Coleto Creek Dam,Flood control,Flood control (Main),208.5,Coleto Creek,8047,82.2,29,8.317,60.645,12,28.73541700000005,-97.17027799999994
1317,1053,Lake Corpus Christi,Recreation,Recreation (Main),655,Nueces River,32338,64.2,28,59.049,146.788,12,28.047560999999977,-97.86908599999998
1586,2664,J. Edward Roush Lake,Flood control,"Flood control (Main), Recreation (Sec)",75.54499999999966,Wabash River,23059,26,225,2.273,13.775,05,40.846824000000034,-85.46710499999995
1587,2666,Salamonie Lake,Flood control,"Flood control (Main), Recreation (Sec)",325.1,Salamonie River,16522,62.4,229,7.536,41.849,05,40.80637300000007,-85.67582899999996
1592,758,Mississinewa Lake,Flood control,"Flood control (Main), Recreation (Sec)",454.4,Mississinewa River,24524,58.8,223,10.749,54.005,05,40.714103000000094,-85.95520799999997
1600,2694,Pleasant Hill Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",41.588,Clear Fork of Mohican River,5573,61.6,312,2.874,12.62,05,40.624274000000064,-82.32435299999997
1631,2764,Dillon Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",97.758,Licking River,23101,46.4,228,4.949,25.658,05,39.99397000000001,-82.08189099999998
1636,777,Senecaville Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",109.2,Seneca Fork of Wills Creek,3643,95.1,251,13.785,47.453,05,39.924326000000065,-81.43396099999995
1645,2787,Cecil M. Harden Lake,Flood control,"Flood control (Main), Recreation (Sec)",163.8,Raccoon Creek,7325,70.9,195,5.631,27.547,05,39.72015799999999,-87.06770799999998
1654,2806,Cagles Mill Lake,Flood control,"Flood control (Main), Recreation (Sec)",281.4,Mill Creek,10163,87.8,194,5.549,30.535,05,39.486722,-86.91458299999994
1655,788,Caesar Creek Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Other (Sec)",298.7,Caesar Creek,8301,114.1,259,10.448,39.189,05,39.48581900000009,-84.05925899999994
1659,794,Lake Shelbyville,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Navigation (Sec)",1266.2,Kaskaskia River,24890,161.3,181,41.947,183.512,07,39.41050900000005,-88.77700599999997
1683,2862,William H. Harsha Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Other (Sec)",363.6,East Fork of Little Miami River,11788,97.8,229,7.825,39.817,05,39.02111900000005,-84.14666399999999
1699,2894,Sutton Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",327.2,Elk River,34595,30,280,4.557,51.532,05,38.661883000000024,-80.69062499999995
1703,817,Patoka Lake,Flood control,"Flood control (Main), Water supply (Sec), Recreation (Sec), Other (Sec)",416.158,Patoka River,5095,231.6,165,32.979,157.447,05,38.433971000000064,-86.70603799999998
1707,2916,Grayson Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",146.8,Little Sandy River,5681,81.9,201,2.896,37.423,05,38.251318000000005,-82.98429799999997
1709,2918,Summersville Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",509.9,Gauley River,40145,40.3,483,4.818,47.301,05,38.22418500000002,-80.89020799999997
1712,2926,East Lynn Lake,Flood control,"Flood control (Main), Recreation (Sec), Fisheries (Sec)",101.8,East Fork of Twelvepole Creek,3785,85.3,210,3.281,40.401,05,38.14280600000008,-82.38667799999996
1714,827,Cave Run Lake,Flood control,"Flood control (Main), Recreation (Sec), Other (Sec)",757.5,Licking River,25060,95.9,229,27.866,128.598,05,38.114969000000045,-83.53093199999995
