GRAND_ID,avail_inf,avail_out,avail_stor
41,1,0.9615627632687447,0.9984203875315922
42,1,0.9615627632687447,0.9847304128053918
55,1,1,1
57,0.9998946925021062,1,1
63,0.9998946925021062,1,1
80,0,1,0.9804128053917439
88,0,1,0.95082139848357206
89,0,1,0.9815711878685762
90,0,1,0.9737784330244313
92,0,1,0.953664700926706
97,0,1,0.9426074136478517
100,0,1,0.9916807076663858
116,0,1,0.9502948609941028
131,0.9450294860994103,0.9941027801179444,0.9933656276326874
132,0.9996840775063185,0.97893850042123,0.9938921651221567
133,0.989469250210615,0.7877000842459984,1
148,0.7530539174389217,0.9626158382476833,0.9905223251895535
182,1,0.9780960404380792,1
192,0,1,0.959983150800337
198,0.7878053917438922,0.9779907329401853,0.995787700084246
210,0.5803496208930076,1,1
293,0.8877422072451558,1,1
300,0.9719882055602359,1,1
305,0,1,0.8875315922493682
307,1,1,0.9998946925021062
310,0.9998946925021062,1,1
319,1,1,1
355,1,1,1
362,1,1,1
364,0.9982097725358046,0.9996840775063185,0.9997893850042123
368,0.9443976411120472,0.9939974726200506,0.9996840775063185
373,0.9997893850042123,1,1
374,0.9996840775063185,0.9291280539174389,1
384,0.9935762426284751,1,1
386,0.9837826453243471,1,0.9911541701769166
387,0.9994734625105307,0,0.9989469250210615
391,0.996524852569503,1,1
393,1,1,1
396,1,0,1
398,0.9945240101095199,1,1
405,0,1,0.989469250210615
411,0.991575400168492,0,1
413,0.9939974726200506,0.9938921651221567,0.9967354675652906
416,0.9997893850042123,0.9995787700084247,1
421,0.9994734625105307,1,1
423,0.9996840775063185,1,1
438,0.901748104465038,0.9637742207245156,0.9996840775063185
451,0.9995787700084247,1,1
477,0.9609309182813817,1,1
488,0.9862047177759057,0.9942080876158382,0.9988416175231677
492,0.8920598146588037,0.9737784330244313,1
493,0.7624262847514743,0.9962089300758215,0.9941027801179444
497,0.9987363100252739,1,1
502,0.9760951979780961,1,1
509,0.9948399326032014,1,1
511,0.9998946925021062,0.9971566975568661,1
517,0.9938921651221567,0.9964195450716091,1
519,0.18207666385846671,0.9716722830665543,0.9979991575400169
522,0.9995787700084247,0.9963142375737153,1
529,0.9070134793597304,1,0.9994734625105307
530,1,1,1
536,0.9974726200505476,1,1
541,1,1,1
554,0,1,0.9993681550126369
567,0.9946293176074137,1,1
575,0.9981044650379107,1,1
597,1,1,1
601,0.9977885425442291,1,1
604,0,1,1
610,0,1,1
613,0,0.9615627632687447,0.9988416175231677
616,0,1,0.9993681550126369
625,0,1,0.9573504633529908
629,0,1,0.9973673125526538
657,0.405223251895535,1,0.9997893850042123
753,1,0.9998946925021062,1
767,0,1,0.9871524852569503
768,0.9981044650379107,0.9981044650379107,0.9981044650379107
774,0,1,0.9977885425442291
798,0.7389427127211458,1,0.9994734625105307
837,0.7203032855939343,1,1
868,0.8566764953664701,1,0.9994734625105307
870,1,0.9951558550968829,1
872,0.5930918281381634,1,1
882,0.9971566975568661,1,1
884,0.9979991575400169,0.9459772535804549,1
893,0.8426705981465881,1,1
895,1,1,1
898,0.9997893850042123,1,1
924,0,1,0.9963142375737153
938,0.9496630160067396,0.9988416175231677,0.9961036225779275
939,0.7983361415332771,0.9986310025273799,0.9982097725358046
948,0.6054128053917439,0.9998946925021062,1
953,0.6373209772535805,0.9998946925021062,0.9990522325189554
955,0,1,0.989469250210615
956,0.5415964616680707,0.993681550126369,0.9976832350463353
957,0.9596672283066554,0.6500631844987363,0.9885214827295703
961,0,1,0.9646166807076664
962,0.1346882898062342,0.9998946925021062,0.9981044650379107
963,0.11067818028643639,0.9971566975568661,0.9986310025273799
964,0,1,0.9946293176074137
965,0,1,0.9990522325189554
967,0,0.9976832350463353,0.9933656276326874
968,0,1,1
972,0,1,0.9993681550126369
975,0,1,0.9949452401010952
976,0.42386267902274644,0.9990522325189554,0.9968407750631845
979,0,1,0.9914700926705982
980,0,1,0.9905223251895535
981,0,1,0.9818871103622578
982,1,1,1
983,0,1,0.9962089300758215
987,0.9990522325189554,0.9621946082561078,1
989,1,1,1
991,0,1,0.983150800336984
998,0,1,0.9994734625105307
1000,0,1,0.9925231676495366
1001,1,1,1
1003,1,1,1
1006,1,0.9967354675652906,1
1007,1,1,1
1016,0,1,0.9712510530749789
1017,1,1,0.9883108677337826
1020,1,1,1
1021,1,1,1
1023,1,1,1
1026,1,1,1
1027,1,1,1
1028,1,1,1
1032,1,1,1
1033,1,1,0.9128053917438922
1036,1,1,0.9890480202190396
1042,1,1,1
1048,1,1,0.9994734625105307
1050,0,1,1
1053,1,1,1
1060,0,1,0.9949452401010952
1067,1,1,1
1077,0,1,0.9926284751474305
1078,0.9746208930075821,1,0.9994734625105307
1084,0.999262847514743,1,0.9877843302443134
1086,0.9998946925021062,1,1
1092,1,1,1
1093,1,1,1
1101,0.9986310025273799,1,0.9987363100252739
1112,1,0.9997893850042123,1
1120,1,1,1
1121,1,1,1
1122,1,1,1
1123,0,1,0.995787700084246
1124,1,1,1
1125,1,1,1
1134,1,1,1
1139,0,1,0.9952611625947767
1144,1,1,1
1151,1,1,1
1164,0,0.9615627632687447,1
1170,0.9997893850042123,1,0.9993681550126369
1181,0,1,0.9984203875315922
1192,0.9993681550126369,0.9994734625105307,0.9994734625105307
1194,0,1,0.991575400168492
1197,1,1,1
1220,0,1,0.9933656276326874
1237,1,1,0.995050547598989
1243,0,1,0.9998946925021062
1247,0,0.9998946925021062,0.9952611625947767
1266,0,1,0.9607203032855939
1269,0,1,1
1273,0,1,0.9973673125526538
1280,0,1,0.9972620050547599
1285,0,1,0.9929443976411121
1286,0,1,0.9979991575400169
1291,0,1,0.9997893850042123
1294,0,1,0.9988416175231677
1302,0,1,0.9956823925863522
1315,0,1,0.995787700084246
1317,0,1,0.9984203875315922
1586,0.9998946925021062,0.9998946925021062,1
1587,0.9998946925021062,0.9998946925021062,0.9998946925021062
1592,0.9998946925021062,0.9998946925021062,1
1600,0.9968407750631845,0.9988416175231677,0.9888374052232519
1631,0.9997893850042123,0.9973673125526538,0.9897851727042966
1636,0.9967354675652906,0.9977885425442291,0.9946293176074137
1645,0.9995787700084247,1,1
1654,0.9995787700084247,1,1
1655,0.9994734625105307,0.9994734625105307,1
1659,0,1,0.9498736310025274
1683,0.9994734625105307,0.9994734625105307,1
1699,0.999262847514743,0.9986310025273799,0.9949452401010952
1703,0.9996840775063185,1,1
1707,0.9987363100252739,0.9986310025273799,0.9929443976411121
1709,1,0.9984203875315922,0.996524852569503
1712,0.9963142375737153,0.9962089300758215,0.9955770850884583
1714,0.9997893850042123,0.9994734625105307,0.9995787700084247
1718,0.9994734625105307,0.9996840775063185,0.9996840775063185
1726,0.9985256950294861,0.9988416175231677,0.9886267902274642
1733,0.9890480202190396,0.9906276326874474,0.9868365627632687
1735,0.9510320134793597,0.9977885425442291,0.9281802864363943
1739,1,1,1
1740,1,0.9996840775063185,0.9998946925021062
1741,0.9996840775063185,0.9995787700084247,0.9998946925021062
1742,0.9990522325189554,0.9995787700084247,0.9984203875315922
1752,0.9975779275484414,0.9994734625105307,1
1753,1,1,1
1754,0.8220303285593934,0.9997893850042123,0.9984203875315922
1755,0.9996840775063185,0.9998946925021062,1
1756,0.9215459140690817,1,1
1758,0,1,0.9737784330244313
1761,0.9860994102780118,0.9998946925021062,1
