GRAND_ID,intercept,poly1,poly2,adj.r.squared,max_stor_rel
41,29.925899156971763,0.007306307700095585,0,0.7375771718786632,NA
42,-14.348807711208243,0.15948049589282173,0,0.9902191642276668,NA
55,4.527653310988609,0.03020829122591829,-1.7753872193523806e-5,0.8898324739564081,NA
57,12.243292463191787,0.01844257100079911,-2.8111703124234307e-6,0.9850224943364816,NA
63,4.94630622016853,0.031910430468077816,-5.169069260017161e-5,0.9010253464064525,NA
80,7.145867435623118,0.012284698799821945,-4.588969232865096e-6,0.5414831822197143,NA
88,0.8843961622255151,0.04412214097024656,-2.5609438645184227e-4,0.4353731045203849,86.09777277425809
89,0.8455012934319224,0.031780689541138635,-8.281565818735644e-5,0.9286081475894421,191.7517422474158
90,15.61404475032774,0.22432297589452482,-9.677330315071529e-4,0.5940099452840683,115.86537912637547
92,3.3506569588435635,0.03306175452481414,-1.325714985088613e-4,0.7432951247394217,124.65071322107366
97,3.1465237508727837,0.049604739650106186,-2.552620360779962e-4,0.6930614253872871,NA
100,2.2550786569874304,0.03413913825366901,-4.181841372814365e-5,0.837902986515065,408.1408251083695
116,0.7491032114782527,0.06168979978550157,-4.269340930934995e-4,0.906036813207069,72.20346178726243
131,10.476436468873299,0.02576480806937289,-3.0360832354390497e-6,0.8924413954048145,NA
132,17.40092895764207,0.02591199092854475,-1.8853110697511903e-6,0.9319115764412266,NA
133,5.747374930778096,0.01954765072214958,0,0.34163765082156594,NA
148,11.721735162417692,0.014133488487879186,-1.0680046303804377e-6,0.877743665165102,NA
182,9.259333225302116,0.049340535478258944,-1.9987809244104575e-5,0.9134777997748804,NA
192,0.9621293769166952,0.02697458655893258,-1.1984382687400358e-4,0.9782048644006475,112.50944828276093
198,5.0435881804168625,0.022138023024328594,-3.1461136601114257e-6,0.9761261287487257,NA
210,7.873378020549663,0.018647973538373,-1.148764188462825e-6,0.9534315153598495,NA
293,5.238158599908436,0.13259727914236902,-4.359797719032624e-4,0.9138960800264773,NA
300,-23.808711252390086,0.1279382443878116,-3.9271461572274506e-5,0.805838861060691,NA
305,352.2306132961067,0.007488025185900112,0,0.35247378796306017,NA
307,53.762394156507604,0.0636304445069421,-1.1118983839021139e-6,0.9675463646127589,NA
310,238.70529191344116,0.007216156555434394,0,0.712184529931552,NA
319,1.1671592657126328,0.06584118639677354,-3.058554592435448e-4,0.9533728464585574,107.58299766588863
355,4.615298157797037,0.009390081899092717,-2.248506418065269e-6,0.9528449617681028,NA
362,3.4346349963177563,0.13239293623028223,-2.538287129148324e-4,0.9740061328951534,NA
364,29.726325478151537,0.042485853258297915,0,0.7539891843181664,NA
368,1.5232333563752485,0.38268496748474007,-0.0023358198601782228,0.8823935344739866,81.88721240413471
373,18.619375611525317,0.019528127671247123,-3.806735507441488e-6,0.9132297837356367,NA
374,4.770262170778902,0.21056484813008394,-3.796261484477553e-4,0.8661400197825172,NA
384,84.60348105326679,0.030372375100624533,-6.7517996802953655e-6,0.8436679618589245,NA
386,26.016179584579206,0.032253003584870196,-8.857067611568464e-6,0.9406126606078178,NA
387,1.6273248946635956,0.04313368751662409,-5.490800885809093e-5,0.9106341004529406,NA
391,5.226611984428864,0.016393714414871308,-1.842642691709268e-5,0.919247653723221,NA
393,11.994884086278487,0.08200749467506777,-1.2742914709780704e-5,0.9181542976155063,NA
396,26.5833694060358,0.028648033951550786,-3.351364897890066e-6,0.8283540196426702,NA
398,6.2097085455833865,0.05080873329238517,-9.543657093168379e-5,0.96952559757212,NA
405,-4411.84447622105,28.52733694797958,-0.04582910818637494,0.35654487811935853,NA
411,64.2859461340744,0.12175984844793195,-2.5142103252301604e-5,0.9559898551554837,NA
413,27.865270701359375,0.0876918289081981,-3.789449674369909e-4,0.762819559455961,115.67369503167723
416,6.784926949903157,0.09780349178283008,-2.8487527745715998e-5,0.9534521211477581,NA
421,9.453152223727832,0.08131536742412858,-2.5597488844940028e-5,0.8927701542572241,NA
423,4.915361120740573,0.11958256832481588,-1.399194083010032e-4,0.7624479744140409,NA
438,3.566398553369642,0.0863546111945842,-2.3984865957950882e-4,0.9492496558861048,NA
451,63.93384624663271,0.01584497591973783,0,0.8711195788527221,NA
477,3.498307766067729,0.03589854383031515,-7.3999577586395155e-06,0.9733960385390489,NA
488,1.5987142755858856,0.06514843374542546,-5.6886173970065544e-5,0.9833746989528481,NA
492,10.137871476939177,0.04256314310001889,-2.457011720083017e-5,0.8329187028435003,NA
493,22.62630124211349,0.05361644519494605,-1.838154121341441e-5,0.8611115689931762,NA
497,1.5827848020714053,0.03835765562561204,0,0.8627812763044492,NA
502,0.24773385430552725,0.07138121596032596,-1.4706767603739948e-4,0.876417738073776,NA
509,4.634246734725568,0.025429432297146237,0,0.7834126938939784,NA
511,2.368269072207013,0.10193595835194784,0,0.864722929604437,NA
517,1.1833783254619885,0.021100407829426293,0,0.39350667394282446,NA
519,2.639439779679952,0.05082841608696898,-1.6075244058210445e-4,0.711224386712275,158.0614114871624
522,0.9949035974816263,0.02206891019938612,0,0.964344578840974,NA
529,4.264221891334696,0.3828573422592611,-0.009011288740292568,0.800344773128185,21.235867289096365
530,0.9410425910150031,0.21242310713835236,-0.0014680205437326373,0.900421559866629,NA
536,2.63085986633042,0.043760373095210706,0,0.912460844653562,NA
541,12.858359830349123,0.03228451988968044,-1.1630595353724284e-5,0.8910237122687082,NA
554,3.658774845739494,0.01599528136584173,-1.967615266596731e-5,0.9532017265987991,NA
567,-1.0011939743191005,0.06063933790563429,-5.404887057263341e-5,0.9761169956865703,NA
575,2.184818208855671,0.1259690264313726,-5.121537951949454e-4,0.9514775137107803,122.93115473491166
597,11.96871956388458,0.006984376375207722,-6.274010656505996e-8,0.9886710020911074,NA
601,6.382590907096267,0.031316636791031124,-2.826077981270331e-6,0.9745078386473462,NA
604,2.6104021050354533,0.07103296215713961,-1.1885827129364363e-4,0.9267356592573864,NA
610,98.14284557676552,0.021369049243690073,-1.8173970046148465e-7,0.9899580901015858,NA
613,-13.428127432621103,0.4437629757368297,-0.002440863226880937,0.7210557780604153,90.89281665555177
616,59.48649351663956,0.02032740018306497,0,0.5127355989570512,NA
625,0.8021362062290887,0.06715106360847009,-3.4158942490558825e-4,0.9363009081510464,98.27291005335113
