pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
default,Evaluation,gdrom,41,82.4,97,0.7334620873557003,0.4279549753769448,-20.2,0.4,0.3213900820202892,0.059147530671822546,0.6955406988241821,0.2048018654758838
default,Evaluation,h06,41,166.2,115.2,0.3683326821760836,0.28082836742826867,49.9,-1.7,-1.7642490291197617,-0.3263507897522455,0.37495181635869157,0.08132262435830905
default,Evaluation,natlake,41,126.3,124.6,0.34233581927471024,0.13787623650427527,33.4,-0.4,-0.5961121054644112,-0.5540097743447525,0.3055844717033424,0.020600101004874426
default,Evaluation,rulebasedloc200,41,113.3,91.8,0.4633695727857432,0.4393444234272179,15.1,-2.3,-0.284034426494044,0.15637828774941331,0.4281938121883955,0.23849394662246998
default,Evaluation,sdp,41,280.6,209.3,NA,-0.31437727494855827,92.7,0,-6.873087446909002,-3.383298655582884,NA,0.0026617970359212196
default,Evaluation,starfit,41,151.7,92.4,0.1387483014430938,0.3519698219958646,-20.2,4.7,-1.3029248099618265,0.14668683605854105,0.33481097144098054,0.2005615297439913
default,Fitting,gdrom,41,77.3,93.3,0.7296459324224813,0.5243002875019662,-10.7,0.1,0.4023621887675185,0.12995335591097934,0.5872042126613746,0.28190553341781943
default,Fitting,h06,41,177.7,122.8,0.2860917959950976,0.21326940617100254,56.3,1.1,-2.1591860683121347,-0.5087601640202462,0.3180314169043185,0.045973191046376906
default,Fitting,natlake,41,136.3,124.5,0.2848802705068847,0.13763198500601703,38.2,-0.4,-0.8572989564579878,-0.5501946504157937,0.2411855381747048,0.020612491663527212
default,Fitting,rulebasedloc200,41,130.8,101.8,0.3772786402283129,0.3941357389752369,24.1,0,-0.7103826832626978,-0.03692727626112724,0.3725580578838213,0.16802900889131858
default,Fitting,sdp,41,284.3,182.7,-0.5545478339406475,-0.11134455168574298,98.3,-1.8,-7.084769272301607,-2.338638575973393,0.008021876623988834,0.003100828001330018
default,Fitting,starfit,41,137.4,92.2,0.1924009190745165,0.39075697829825895,-0.5,6.7,-0.8870403719453814,0.15062199231503404,0.34116599403709275,0.2198501292358029
fitted,Evaluation,gdrom,41,56.1,106.8,0.8401321775146766,0.3771034638404668,1.4,-0.1,0.6851033572697065,-0.1403039758646183,0.7078515424176365,0.14633360987879165
fitted,Evaluation,h06,41,87.4,132.2,0.3563513365346779,0.05146929851386872,-5.1,-0.9,0.23632347545383492,-0.7473391623777401,0.2624375467768566,0.0030047850393559055
fitted,Evaluation,natlake,41,82.4,119.3,0.5170011948658768,0.07183189598496198,-2.5,0.2,0.3207755697884924,-0.423270788597518,0.34938484090703675,0.010601519589049466
fitted,Evaluation,rulebasedloc200,41,66.9,91,0.7884469238666061,0.5245884239491316,7,-1.2,0.552142785994024,0.1715938908077922,0.6486291109468703,0.29071693229113643
fitted,Evaluation,sdp,41,278.5,209.6,-0.5813903349307299,-0.315374673794081,91.6,-2.6,-6.7609610781295935,-3.3954008620451663,1.6187457791596804e-4,0.0022532939506179064
fitted,Evaluation,starfit,41,124.9,96.4,0.286472494478482,0.3788095845994399,-12.6,4.6,-0.5595825148506057,0.07122101126074476,0.46103102329406914,0.18500839923483572
fitted,Fitting,gdrom,41,139.6,117.5,0.44852453019389693,0.2947565312037037,38.7,-0.5,-0.9487177903675819,-0.3803036135860336,0.39198740800890586,0.0870797140837952
fitted,Fitting,h06,41,97.3,119.6,0.41386651630131854,0.15043193540738575,2.7,2,0.052294565439266694,-0.43140869265866555,0.19700210105162827,0.027382986924525555
fitted,Fitting,natlake,41,90.3,114.2,0.48640522815752196,0.11554911720879335,2.2,0.4,0.1838377599347799,-0.3047896160522199,0.2723954866773137,0.024757163125085017
fitted,Fitting,rulebasedloc200,41,76.4,92.4,0.7343388054261513,0.5182516228560028,10.2,0.1,0.4160959289682139,0.1452003692696887,0.579469373145937,0.28027338531908
fitted,Fitting,sdp,41,284.3,182.6,-0.552502583424392,-0.11072586174357557,98.3,-1.8,-7.082489929897889,-2.335783464407845,0.008319046053643047,0.0031475560051230428
fitted,Fitting,starfit,41,133.5,93.5,0.20677887112089688,0.42055510788533923,0.9,6.7,-0.7828080380984976,0.1251889048248277,0.37973516178792394,0.22374567041743657
default,Evaluation,gdrom,42,4063.7,227.2,-32.036179577807616,-0.476939606798892,-25.3,19.8,-1650.8440283793514,-4.165360464554536,0.004023881745171104,0.08200413935181372
default,Evaluation,h06,42,5291.7,162,-37.73377454944805,0.10639380932444364,-39.9,20.9,-2800.0072784549807,-1.626212964161378,0.0268205323094954,0.18825203410878927
